noise,detectors,mse,psnr,ssim,view_fijo
100.0,30,0.01988705020680118,17.01429629842574,0.5344766393035469,360
100.0,53,0.015012265372030448,18.235537671613113,0.3499429936513588,360
100.0,77,0.013215294898129549,18.789231411814264,0.2945905798673646,360
100.0,101,0.012728992035850735,18.95205985238693,0.29099133017213646,360
100.0,125,0.012426009221270616,19.056683284353248,0.29995553256927315,360
100.0,148,0.012189628100992467,19.140095442709224,0.32051060392631475,360
100.0,172,0.012091162039708947,19.1753195859484,0.3366720892177002,360
100.0,196,0.011820228884249492,19.273741137928234,0.36093649927515103,360
100.0,220,0.01174180419252466,19.302651662352336,0.37583777215526154,360
100.0,243,0.011523496619788931,19.38415721237058,0.39252699480581205,360
100.0,267,0.011443570472436262,19.41438451544123,0.39941021929928955,360
100.0,291,0.01143847525121735,19.416318631405115,0.4109224375290773,360
100.0,315,0.01139462284640442,19.4330004507212,0.41943112895262535,360
100.0,338,0.011424890843533018,19.42147940604085,0.4167054444713833,360
100.0,362,0.011572306562620852,19.365800699522357,0.42123625426858136,360
100.0,386,0.011824453184216956,19.272189338517286,0.4256415275578537,360
100.0,410,0.01229636502082392,19.102232531712396,0.4273610325609426,360
100.0,433,0.012815584225536794,18.922615907951165,0.43064213980292276,360
100.0,457,0.013486957735690997,18.70086003449455,0.4345372668817269,360
100.0,481,0.014294129423095103,18.448422899918427,0.4403139086614004,360
100.0,505,0.015314331655907624,18.14901951811044,0.4422497412638447,360
100.0,528,0.01610780799849631,17.92963555727788,0.4475637578765588,360
100.0,552,0.017305193999557933,17.618235276922896,0.4526139044146842,360
100.0,576,0.01839344133564014,17.353370084858014,0.45835733004992935,360
100.0,600,0.019646453322483885,17.067158392578975,0.46401226848122185,360
11200.0,30,0.013550514095295037,18.68044227703639,0.6250464143587224,360
11200.0,53,0.012409240727713973,19.06254790447431,0.537562366048525,360
11200.0,77,0.01167516708557737,19.327368954449327,0.5200298184097926,360
11200.0,101,0.011888327585256302,19.248792363468723,0.510673115731751,360
11200.0,125,0.011760027142063423,19.29591675909985,0.5128055034401483,360
11200.0,148,0.011721515565602435,19.310162313875306,0.516718636064953,360
11200.0,172,0.0116944418325885,19.320205019276546,0.5225960466821843,360
11200.0,196,0.01155246348208659,19.373253956336114,0.5306432966778856,360
11200.0,220,0.011584278222287052,19.36131020470738,0.5357607352655529,360
11200.0,243,0.01149517312829978,19.394844834552462,0.5420848912514727,360
11200.0,267,0.011485316067851829,19.398570488246193,0.5478004098210755,360
11200.0,291,0.011475738532247537,19.40219355450064,0.5536764934350026,360
11200.0,315,0.011481707873261898,19.399935069932482,0.5586660037458722,360
11200.0,338,0.011480590618498468,19.400357691020865,0.563573001336644,360
11200.0,362,0.011445084141896718,19.41381010134295,0.5680435876142964,360
11200.0,386,0.011441151522847467,19.41530262706395,0.5724381179981479,360
11200.0,410,0.011450878174387679,19.411612057550123,0.5761945032250317,360
11200.0,433,0.011421527239134388,19.422758201548223,0.5801973675853351,360
11200.0,457,0.011412906203817864,19.42603751938504,0.5829852347058089,360
11200.0,481,0.011403509138682485,19.42961485062123,0.586356763047845,360
11200.0,505,0.011470188218128246,19.404294555578588,0.5887898590222626,360
11200.0,528,0.011313245852487873,19.4641277495209,0.5914946131839159,360
11200.0,552,0.011384877692289313,19.43671630648238,0.5935331108259696,360
11200.0,576,0.011355805770907251,19.447820442321774,0.5958311009448932,360
11200.0,600,0.01134874848296753,19.45052028947478,0.5972303015115097,360
22300.0,30,0.013523672410716302,18.689053578664403,0.6293502031540912,360
22300.0,53,0.012394328916395617,19.067769828773034,0.5424320127036306,360
22300.0,77,0.011667601040593972,19.330184294672414,0.5245235243963374,360
22300.0,101,0.011898588039635628,19.245045716307402,0.5142740463866489,360
22300.0,125,0.011757447308617977,19.296869588823494,0.5160524700651556,360
22300.0,148,0.011710242885825128,19.314340969959854,0.5200493471173889,360
22300.0,172,0.0116894155317677,19.322072029248826,0.5250093810805483,360
22300.0,196,0.011544784201994203,19.37614180612464,0.5330905412224489,360
22300.0,220,0.011583511009084453,19.361597842390132,0.5380711015225934,360
22300.0,243,0.011486801016815427,19.39800902049873,0.5439453077518833,360
22300.0,267,0.011472663688736225,19.403357371976742,0.5499517211127735,360
22300.0,291,0.011475306591257627,19.40235702382192,0.5553941265397844,360
22300.0,315,0.011471849763090531,19.403665492188136,0.5607450692081903,360
22300.0,338,0.011486011501183039,19.398307531865058,0.5652982891502029,360
22300.0,362,0.01143982817904444,19.415804983973004,0.5698386072777277,360
22300.0,386,0.011439743084838637,19.415837288725218,0.5740843886753333,360
22300.0,410,0.011453741829009314,19.41052610248381,0.5777656076235933,360
22300.0,433,0.011425498021199453,19.42124860567094,0.5817199179982464,360
22300.0,457,0.011421845920520268,19.422637027178382,0.5846372030703634,360
22300.0,481,0.011408241217304119,19.427813046173334,0.5880547151676292,360
22300.0,505,0.011476816915140938,19.40178546421945,0.5903978883561505,360
22300.0,528,0.011335051739762346,19.455764931605785,0.5933095232083834,360
22300.0,552,0.011405339779594575,19.428917720089988,0.5955362723483131,360
22300.0,576,0.011377357839064638,19.439585823296326,0.5977421848698671,360
22300.0,600,0.011380783439841056,19.43827840586939,0.5999363402733809,360
33400.0,30,0.013466640518176188,18.707407328879796,0.6319860836536262,360
33400.0,53,0.012373123858641252,19.0752063963563,0.5453769350980926,360
33400.0,77,0.011654721256606907,19.334981089443588,0.5267777480051319,360
33400.0,101,0.01188926339544807,19.248450514537993,0.5156903106039209,360
33400.0,125,0.011743890112399366,19.301880211032312,0.5174409588347556,360
33400.0,148,0.011707405216290549,19.315393496004305,0.5215553184807998,360
33400.0,172,0.01168193788705194,19.324851072370805,0.5264153876827253,360
33400.0,196,0.011543319629309785,19.376692787565723,0.534374169361835,360
33400.0,220,0.011578999071434535,19.36328980897063,0.5391666073696991,360
33400.0,243,0.011486374093180471,19.398170435347126,0.5449673537921157,360
33400.0,267,0.01147464146942704,19.40260875314186,0.550658585522724,360
33400.0,291,0.01147062598459262,19.404128807703916,0.5561217161613299,360
33400.0,315,0.011476255140123183,19.401998050830727,0.5611478548374365,360
33400.0,338,0.011483207682119165,19.399367805742045,0.5659269955147735,360
33400.0,362,0.011441875958534844,19.41502764734644,0.5704857918785544,360
33400.0,386,0.011446886654555503,19.41312617481705,0.574695169881241,360
33400.0,410,0.0114525879666799,19.410963637477355,0.5783879821510803,360
33400.0,433,0.01142477616652746,19.421522998440416,0.5822901130128637,360
33400.0,457,0.01142052606739932,19.42313890581716,0.5852561351885125,360
33400.0,481,0.011406697894025842,19.428400605737966,0.5887048708952158,360
33400.0,505,0.011478661723437405,19.401087426005862,0.5912433143724266,360
33400.0,528,0.01133584538520673,19.45546086261784,0.5940433328524704,360
33400.0,552,0.0114056797355227,19.428788273018505,0.5963864743061414,360
33400.0,576,0.011384699845856284,19.436784149396342,0.5986658174565982,360
33400.0,600,0.011392102386417913,19.433961204719218,0.6006134377148528,360
44500.0,30,0.013484315330062877,18.70171100076827,0.6318630219336936,360
44500.0,53,0.01239345619365645,19.068075639613596,0.5464706465339684,360
44500.0,77,0.011646518266106236,19.33803887841077,0.5282861033807501,360
44500.0,101,0.011881476065292114,19.251296025206322,0.5169337111546134,360
44500.0,125,0.011739475398963535,19.30351309938984,0.5184829854580739,360
44500.0,148,0.011703753872591403,19.31674819905588,0.5220991681618363,360
44500.0,172,0.011681335427781613,19.32507505189046,0.5269363887322733,360
44500.0,196,0.011538560440925709,19.378483706915915,0.534872388784584,360
44500.0,220,0.011580331766768572,19.362789982585912,0.5394988723118943,360
44500.0,243,0.01148446440024596,19.39889254142587,0.5455497908382778,360
44500.0,267,0.011473483473964118,19.40304705565353,0.5509576115971916,360
44500.0,291,0.011470052082221653,19.404346100873884,0.556534404266947,360
44500.0,315,0.011472816393185209,19.403299566518484,0.5616309074203434,360
44500.0,338,0.011483043552249132,19.39942988004067,0.5662761398001941,360
44500.0,362,0.01143841892453996,19.416340017494495,0.5708861064530178,360
44500.0,386,0.01143885400306055,19.41617482979812,0.5751093095118368,360
44500.0,410,0.011451503168950597,19.411375023954452,0.5787639406239108,360
44500.0,433,0.011420694476157353,19.42307486458593,0.5826987750017542,360
44500.0,457,0.011419280638231286,19.42361253768523,0.5857567358028043,360
44500.0,481,0.01141117640878329,19.426695806907503,0.5890439225419977,360
44500.0,505,0.011480755098037808,19.40029547118654,0.5915184954762884,360
44500.0,528,0.011340977077440258,19.45349527360151,0.5943181869844373,360
44500.0,552,0.011408644204677593,19.427659637687157,0.5967528173341308,360
44500.0,576,0.011383102545464367,19.437393517604452,0.5990397304786768,360
44500.0,600,0.011400822628619838,19.43063810928374,0.6009466001931016,360
55600.0,30,0.01346699057955087,18.707294436768954,0.6329670188683344,360
55600.0,53,0.012369151043068754,19.076601071585188,0.5477160692703815,360
55600.0,77,0.01165010149010163,19.336702912560636,0.5289121064507292,360
55600.0,101,0.011884007478525995,19.250370835696906,0.517425642288277,360
55600.0,125,0.011741930735849128,19.302604857985223,0.5190878285934821,360
55600.0,148,0.011704623241866618,19.31642561173828,0.5226839099434546,360
55600.0,172,0.011680948951057306,19.32521874050074,0.5275200595464666,360
55600.0,196,0.011541930003048529,19.377215638327584,0.5351856572414204,360
55600.0,220,0.011580333071399758,19.362789493313148,0.539860026869504,360
55600.0,243,0.01148085161223526,19.400258961909195,0.5458658086165062,360
55600.0,267,0.011470286834512304,19.40425721672547,0.5514771998885243,360
55600.0,291,0.011471885253177138,19.403652056582498,0.5569714518896842,360
55600.0,315,0.011472470361095484,19.403430556232188,0.5619369794223253,360
55600.0,338,0.011480882661616147,19.400247216651085,0.56659856802484,360
55600.0,362,0.011440069474872343,19.415713380900165,0.5711500154424844,360
55600.0,386,0.011442715398233943,19.414709036431624,0.5752743535162816,360
55600.0,410,0.01145234500650903,19.411055771570616,0.5788850343754086,360
55600.0,433,0.011419687720646835,19.423457720143567,0.5830450267214472,360
55600.0,457,0.011418992464424968,19.42372213642184,0.5859442008575192,360
55600.0,481,0.011410574331512564,19.426924955704536,0.5892723611681647,360
55600.0,505,0.011483750306307201,19.399162590327123,0.5917947793697167,360
55600.0,528,0.011342586618177606,19.452878955397562,0.5946448978482656,360
55600.0,552,0.011411308037261434,19.426645711115473,0.5969720889686958,360
55600.0,576,0.011388871882670234,19.435192925491314,0.5993232840342155,360
55600.0,600,0.011404815989622855,19.42911717431269,0.6013145882917621,360
66700.0,30,0.01349618575898852,18.697889528293874,0.6327369610662572,360
66700.0,53,0.012374523394365644,19.074715189546406,0.5477517060595052,360
66700.0,77,0.011645345088287087,19.33847637423996,0.529034242798683,360
66700.0,101,0.011877155054729992,19.25287573832581,0.5180712716578612,360
66700.0,125,0.011739029086837396,19.30367821288225,0.5195300565281613,360
66700.0,148,0.011703769003473028,19.316742584400767,0.5229839966952389,360
66700.0,172,0.011681185534299763,19.325130780390094,0.5277836561579303,360
66700.0,196,0.011537579278671497,19.378853017691714,0.5355671297811978,360
66700.0,220,0.011576128292119875,19.3643666880583,0.5401636708054715,360
66700.0,243,0.01148251876555976,19.399628361541154,0.546051107302797,360
66700.0,267,0.011468951734999422,19.404762749069214,0.5516011421255638,360
66700.0,291,0.01147180756863506,19.403681465944118,0.5570942868291178,360
66700.0,315,0.011472681305463575,19.403350703218894,0.5622111779043633,360
66700.0,338,0.011481438270848127,19.400037047980156,0.5668032467611717,360
66700.0,362,0.01143834767278008,19.41636707048383,0.5712492108542759,360
66700.0,386,0.011443716972210877,19.414328917726674,0.5755118324115228,360
66700.0,410,0.011449264514111608,19.412224109417448,0.5791696893207625,360
66700.0,433,0.011425008681067059,19.421434612679075,0.583084072538208,360
66700.0,457,0.011419815001715041,19.42340931500424,0.5861773352961246,360
66700.0,481,0.011408230655917548,19.427817066735265,0.589423502840862,360
66700.0,505,0.011485034437431086,19.398676982518136,0.5919652274191277,360
66700.0,528,0.011341004177060117,19.453484896011272,0.5947930284337144,360
66700.0,552,0.011411808987466125,19.426455062389092,0.5971187749075666,360
66700.0,576,0.011387052675300427,19.435886703451295,0.5993969180198467,360
66700.0,600,0.011403810508193626,19.429500077716973,0.6014611478974299,360
77800.0,30,0.013466189694257315,18.7075527204623,0.6335469402789992,360
77800.0,53,0.012381497584933853,19.07226822719961,0.5484505650560397,360
77800.0,77,0.011641543501286414,19.339894346645494,0.5297723341901063,360
77800.0,101,0.011876398268960794,19.253152469877655,0.5184417144376191,360
77800.0,125,0.01173724431279843,19.30433855407428,0.51974307896051,360
77800.0,148,0.011701559976053348,19.31756237071732,0.5230658215565204,360
77800.0,172,0.011679535743258885,19.325744199075267,0.5279769788306745,360
77800.0,196,0.011538785414324477,19.378399031055636,0.5358576241060633,360
77800.0,220,0.01157506333247979,19.364766240792314,0.5403380276569419,360
77800.0,243,0.011479666896956038,19.400707135854958,0.5462676953369338,360
77800.0,267,0.01146848101043365,19.40494100186996,0.551778299400154,360
77800.0,291,0.01146923268031997,19.404656364884463,0.5572158805125302,360
77800.0,315,0.011472331044329383,19.40348329541409,0.5623010420211901,360
77800.0,338,0.011479664423926856,19.400708071442246,0.5669996711593169,360
77800.0,362,0.011438624571331926,19.41626193811593,0.5713749104643363,360
77800.0,386,0.011438979036483228,19.416127359108543,0.575670996429855,360
77800.0,410,0.01145120301349311,19.411488858413897,0.5793024410586972,360
77800.0,433,0.011421851235440695,19.422635006279055,0.5832909772729579,360
77800.0,457,0.011422304136726808,19.42246280246917,0.5862003611459496,360
77800.0,481,0.011411452710366558,19.42659065140387,0.5895316059891286,360
77800.0,505,0.011482396619635264,19.399674560101094,0.5921224821877074,360
77800.0,528,0.01134093683180944,19.453510685400936,0.5949433616628873,360
77800.0,552,0.01141410890491557,19.425579880532034,0.5972269474194237,360
77800.0,576,0.011395572425446013,19.43263854338937,0.599587253948756,360
77800.0,600,0.01140482391484644,19.429114156394927,0.6016499126653555,360
88900.0,30,0.013473952588467605,18.705049851563494,0.6336490958088284,360
88900.0,53,0.0123745717747742,19.07469821006144,0.5489931410252744,360
88900.0,77,0.01164063890736613,19.340231823726672,0.5301028607572565,360
88900.0,101,0.01187579045589024,19.253374739804595,0.5185009976674692,360
88900.0,125,0.011735330397690875,19.305046787220526,0.520219494157005,360
88900.0,148,0.01170320952949662,19.316950194674284,0.5234270419859859,360
88900.0,172,0.01167920707823727,19.3258664123351,0.5281939148678825,360
88900.0,196,0.011536363747395896,19.379310588836333,0.5359546347589418,360
88900.0,220,0.01157757584337048,19.363823653114476,0.5405185947609115,360
88900.0,243,0.01148109832141443,19.40016563844541,0.5464682693200882,360
88900.0,267,0.011470042554538554,19.40434970837443,0.551970653110067,360
88900.0,291,0.011467016537369722,19.40549561165778,0.5573588885802494,360
88900.0,315,0.011470251343102986,19.404270654704213,0.5624482163044888,360
88900.0,338,0.011479832959353451,19.40064431220174,0.5670634615289196,360
88900.0,362,0.011436045929138359,19.41724109108794,0.5715256849456666,360
88900.0,386,0.011438795661174863,19.416196980289445,0.5757791572136739,360
88900.0,410,0.011451280796924352,19.411459358631035,0.579345019822739,360
88900.0,433,0.011421686731452135,19.422697556287364,0.5834486041446443,360
88900.0,457,0.011421820168294176,19.4226468189952,0.5862584612675127,360
88900.0,481,0.011412724521084749,19.426106655532383,0.5896678219936056,360
88900.0,505,0.011484884763782354,19.398733580400926,0.5921712821703301,360
88900.0,528,0.01134212978593073,19.453053874687246,0.5950650105911385,360
88900.0,552,0.011411693883906901,19.426498867094182,0.5973572026767,360
88900.0,576,0.011395544312947155,19.432649257303275,0.5997711446691257,360
88900.0,600,0.011403664685488191,19.429555612137833,0.6017554289412401,360
100000.0,30,0.013475366272448134,18.704594214702592,0.6340050427938372,360
100000.0,53,0.012368133287089422,19.076958431592935,0.5492804500278787,360
100000.0,77,0.011636939375291722,19.341612282088413,0.5301898185798258,360
100000.0,101,0.011874475634674664,19.253855593027055,0.5190996881152975,360
100000.0,125,0.011731902142718463,19.306315681816518,0.5200124441160197,360
100000.0,148,0.011700434997482387,19.31797991801323,0.5235524155210803,360
100000.0,172,0.011676426061322895,19.32690066415648,0.5283638913616919,360
100000.0,196,0.011536242666558392,19.379356170803664,0.5361040367017912,360
100000.0,220,0.0115733461285642,19.36541058068743,0.5406451555761709,360
100000.0,243,0.011480462756384808,19.400406059716765,0.5465580860457306,360
100000.0,267,0.011467249206236213,19.405407493026942,0.552093969781927,360
100000.0,291,0.011468407858892108,19.404968703369512,0.5574975547304827,360
100000.0,315,0.011469421636403231,19.404584815278152,0.5625302620735506,360
100000.0,338,0.011479098427597936,19.40092220239004,0.5671946979127159,360
100000.0,362,0.011436508318395558,19.41706549801622,0.5716274079131317,360
100000.0,386,0.01144091409115865,19.415392754654725,0.5758623149908908,360
100000.0,410,0.011450553135366876,19.411735336004853,0.5794790414941018,360
100000.0,433,0.011425161842567647,19.42137639237435,0.5834448992757396,360
100000.0,457,0.01142010617469278,19.423298583608503,0.5863957315963075,360
100000.0,481,0.011408812856602127,19.427595437193656,0.5896973176923256,360
100000.0,505,0.011482713250334068,19.399554803682697,0.592298057076171,360
100000.0,528,0.011340084259695328,19.453837185132375,0.5951438547344848,360
100000.0,552,0.011415203304045905,19.42516349347725,0.5975080022228652,360
100000.0,576,0.011390935036217483,19.434406249637096,0.5998824165425054,360
100000.0,600,0.01140579156120338,19.428745693322156,0.6018244428507411,360
